veh_id,lat,lon,time
5,40.070761,-75.682547,0
5,40.070765,-75.682544,31
5,40.035609,-75.652642,61
5,40.017374,-75.641686,226
5,40.070300,-75.682938,259
5,40.017736,-75.641720,289
5,40.015369,-75.638240,319
3,-31.937546,115.844123,462
5,40.017391,-75.641692,1502
5,40.041773,-75.488992,1532
5,40.024691,-75.644895,1650
5,40.019076,-75.682984,1720
5,40.017678,-75.641624,2875
5,40.028418,-75.647537,2981
5,40.070703,-75.682575,17553
5,40.070703,-75.682575,17586
8,-37.858166,145.183876,20727
8,-37.858168,145.183870,20757
8,-37.858170,145.183874,20788
8,-37.858170,145.183866,20818
8,-37.858164,145.183868,20849
8,-37.858167,145.183874,20879
8,-37.858166,145.183873,20910
8,-37.858166,145.183877,20940
8,-37.858169,145.183876,20970
5,40.017817,-75.641658,27296
8,-37.858199,145.183879,28035
8,-37.858188,145.183873,28065
9,-37.858225,145.183725,28075
8,-37.858185,145.183869,28095
9,-37.858224,145.183719,28105
9,-37.858228,145.183730,28135
5,40.017675,-75.641626,28733
5,39.977981,-75.586591,28764
5,40.017789,-75.641628,28827
9,-37.915623,145.257390,29034
9,-37.920279,145.235849,29064
9,-38.071242,145.557109,29094
9,-38.066404,145.546689,29124
9,-38.066534,145.551352,29154
9,-38.065674,145.540822,29184
9,-38.064463,145.533051,29215
9,-38.065667,145.541011,29245
9,-38.064606,145.534348,29275
9,-38.064240,145.530466,29305
9,-38.065865,145.546457,29335
9,-38.094193,145.621546,29365
5,40.023240,-75.643940,30393
8,-37.858061,145.183898,30767
8,-37.858185,145.183874,30929
5,40.006275,-75.759857,31687
5,40.017746,-75.641663,31839
5,40.017759,-75.641666,31894
9,-37.858229,145.183725,32152
9,-37.858222,145.183730,32182
9,-37.858227,145.183726,32212
9,-37.858220,145.183722,32308
9,-37.858226,145.183727,32338
9,-37.858225,145.183726,32368
9,-37.858240,145.183723,32474
9,-37.858222,145.183727,32527
5,40.017748,-75.641759,33085
5,40.024790,-75.606377,33207
3,-31.971821,115.766380,33594
3,-31.973081,115.763190,33639
8,-37.858129,145.184008,36332
8,-37.858205,145.183931,36362
